,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
7.5,7.5,CARDINAL,,,en,2,,,,,,
79 degrees,79 degrees,QUANTITY,,,en,2,,,,,,
18 million,18 million,CARDINAL,,,en,2,,,,,,
up to 16 inches,up to 16 inches,QUANTITY,,,en,2,,,,,,
November 14,November 14,DATE,,,en,2,,,,,,
the week,the week,DATE,,,en,2,,,,,,
November 30,November 30,DATE,,,en,2,,,,,,
20%,20%,PERCENT,,,en,2,,,,,,
The third season,The third season,DATE,,,en,2,,,,,,
19,19,CARDINAL,,,en,2,,,,,,
59%,59%,PERCENT,,,en,2,,,,,,
Himalayan,Himalayan,NORP,,,en,2,,,,,,
up to 10 inches,up to 10 inches,QUANTITY,,,en,2,,,,,,
22 years later,22 years later,DATE,,,en,2,,,,,,
Appalachians,Appalachians,NORP,,,en,2,,,,,,
Noon,Noon,TIME,,,en,2,,,,,,
6.46,6.46,MONEY,,,en,2,,,,,,
63 degrees,63 degrees,QUANTITY,,,en,2,,,,,,
11.5,11.5,CARDINAL,,,en,2,,,,,,
22,22,CARDINAL,,,en,2,,,,,,
World Cup,World Cup,EVENT,,,en,2,,,,,,
the winter season,the winter season,DATE,,,en,2,,,,,,
"above 4,000 feet","above 4,000 feet",QUANTITY,,,en,2,,,,,,
six feet,six feet,QUANTITY,,,en,2,,,,,,
late Monday,late Monday,DATE,,,en,2,,,,,,
this season,this season,DATE,,,en,2,,,,,,
Austrian,Austrian,NORP,,,en,2,,,,,,
the days,the days,DATE,,,en,2,,,,,,
5 mths,5 mths,DATE,,,en,1,,,,,,
evening,evening,TIME,,,en,1,,,,,,
more than 105 million,more than 105 million,CARDINAL,,,en,1,,,,,,
the end of the year,the end of the year,DATE,,,en,1,,,,,,
Morning Rundown,Morning Rundown,WORK_OF_ART,,,en,1,,,,,,
the 17th century,the 17th century,DATE,,,en,1,,,,,,
32,32,CARDINAL,,,en,1,,,,,,
Garnet Hill,Garnet Hill,FAC,,,en,1,,,,,,
November 10,November 10,DATE,,,en,1,,,,,,
First snowfall of season,First snowfall of season,DATE,,,en,1,,,,,,
"November 10, 2025","November 10, 2025",DATE,,,en,1,,,,,,
30.5 million,30.5 million,CARDINAL,,,en,1,,,,,,
only one,only one,CARDINAL,,,en,1,,,,,,
30 million mark,30 million mark,MONEY,,,en,1,,,,,,
New Yorkers,New Yorkers,NORP,,,en,1,,,,,,
Sunday Night Open Thread,Sunday Night Open Thread,DATE,,,en,1,,,,,,
Viking,Viking,PRODUCT,,,en,1,,,,,,
the season just days,the season just days,DATE,,,en,1,,,,,,
12 November 2025,12 November 2025,DATE,,,en,1,,,,,,
Russian,Russian,NORP,,,en,1,,,,,,
27 September 2025,27 September 2025,DATE,,,en,1,,,,,,
Thanksgiving,Thanksgiving,EVENT,,,en,1,,,,,,
2026.Marriott,2026.Marriott,CARDINAL,,,en,1,,,,,,
+5000 chars,+5000 chars,WORK_OF_ART,,,en,1,,,,,,
February 22,February 22,DATE,,,en,1,,,,,,
early this week,early this week,DATE,,,en,1,,,,,,
the work week,the work week,DATE,,,en,1,,,,,,
a busy 24 hours,a busy 24 hours,TIME,,,en,1,,,,,,
24 hours,24 hours,TIME,,,en,1,,,,,,
Israelis,Israelis,NORP,,,en,1,,,,,,
610 crore,610 crore,MONEY,,,en,1,,,,,,
over weekend,over weekend,DATE,,,en,1,,,,,,
several days,several days,DATE,,,en,1,,,,,,
Nov 18,Nov 18,DATE,,,en,1,,,,,,
65,65,CARDINAL,,,en,1,,,,,,
665,665,MONEY,,,en,1,,,,,,
Winter Storm Warnings,Winter Storm Warnings,WORK_OF_ART,,,en,1,,,,,,
as 15 Inches,as 15 Inches,QUANTITY,,,en,1,,,,,,
Snow To Strike,Snow To Strike,FAC,,,en,1,,,,,,
up to 15 inches,up to 15 inches,QUANTITY,,,en,1,,,,,,
6am on,6am on,TIME,,,en,1,,,,,,
European,European,NORP,,,en,1,,,,,,
up to 1 ft,up to 1 ft,QUANTITY,,,en,1,,,,,,
Monday Flurries,Monday Flurries,WORK_OF_ART,,,en,1,,,,,,
Two years,Two years,DATE,,,en,1,,,,,,
Dutch,Dutch,NORP,,,en,1,,,,,,
Koraputs,Koraputs,NORP,,,en,1,,,,,,
Parab,Parab,NORP,,,en,1,,,,,,
late Monday night,late Monday night,TIME,,,en,1,,,,,,
the 40s,the 40s,DATE,,,en,1,,,,,,
Black Snow,Black Snow,WORK_OF_ART,,,en,1,,,,,,
"Falling in Austria and the Himalayas, / deliquescing","Falling in Austria and the Himalayas, / deliquescing",WORK_OF_ART,,,en,1,,,,,,
This Week,This Week,DATE,,,en,1,,,,,,
1996,1996,DATE,,,en,1,,,,,,
the 33rd minute,the 33rd minute,TIME,,,en,1,,,,,,
610.27 crore,610.27 crore,MONEY,,,en,1,,,,,,
Saturn,Saturn,PRODUCT,,,en,1,,,,,,
Muggles,Muggles,WORK_OF_ART,,,en,1,,,,,,
An NYC Ferry,An NYC Ferry,FAC,,,en,1,,,,,,
up to 40%,up to 40%,PERCENT,,,en,1,,,,,,
+3958,+3958,NORP,,,en,1,,,,,,
the coming days,the coming days,DATE,,,en,1,,,,,,
Tommy,Tommy,PRODUCT,,,en,1,,,,,,
2025-11-10,2025-11-10,DATE,,,en,1,,,,,,
Brazilian,Brazilian,NORP,,,en,1,,,,,,
November 2026,November 2026,DATE,,,en,1,,,,,,
"February 22, 2026","February 22, 2026",DATE,,,en,1,,,,,,
the 1980s,the 1980s,DATE,,,en,1,,,,,,
"more than 1,100","more than 1,100",CARDINAL,,,en,1,,,,,,
541,541,CARDINAL,,,en,1,,,,,,
"Nov 11, 2025","Nov 11, 2025",DATE,,,en,1,,,,,,
Veterans Day,Veterans Day,DATE,,,en,1,,,,,,
Prehistoric Planet:,Prehistoric Planet:,WORK_OF_ART,,,en,1,,,,,,
Promises Survival,Promises Survival,WORK_OF_ART,,,en,1,,,,,,
that decade,that decade,DATE,,,en,1,,,,,,
last year,last year,DATE,,,en,1,,,,,,
The Decade,The Decade,DATE,,,en,1,,,,,,
the darker days,the darker days,DATE,,,en,1,,,,,,
Delta 2,Delta 2,PRODUCT,,,en,1,,,,,,
55,55,CARDINAL,,,en,1,,,,,,
the Christmas season,the Christmas season,DATE,,,en,1,,,,,,
13%,13%,PERCENT,,,en,1,,,,,,
25 Years,25 Years,DATE,,,en,1,,,,,,
About one inch,About one inch,QUANTITY,,,en,1,,,,,,
70%,70%,PERCENT,,,en,1,,,,,,
6-28,6-28,CARDINAL,,,en,1,,,,,,
40,40,CARDINAL,,,en,1,,,,,,
"More than 1,100","More than 1,100",CARDINAL,,,en,1,,,,,,
+182 chars,+182 chars,WORK_OF_ART,,,en,1,,,,,,
1973,1973,DATE,,,en,1,,,,,,
22 Years Later,22 Years Later,DATE,,,en,1,,,,,,
the holiday season,the holiday season,DATE,,,en,1,,,,,,
"as over 7,000","as over 7,000",CARDINAL,,,en,1,,,,,,
each passing day,each passing day,DATE,,,en,1,,,,,,
The Dream Life of Mr. Kim:,The Dream Life of Mr. Kim:,WORK_OF_ART,,,en,1,,,,,,
the North Star Cup,the North Star Cup,EVENT,,,en,1,,,,,,
"5-6
","5-6
",QUANTITY,,,en,1,,,,,,
"the Snow 
","the Snow 
",WORK_OF_ART,,,en,1,,,,,,
In The Ones Who Walk Away From Omelas,In The Ones Who Walk Away From Omelas,WORK_OF_ART,,,en,1,,,,,,
Semi,Semi,PRODUCT,,,en,1,,,,,,
9.41,9.41,MONEY,,,en,1,,,,,,
26 Federal Plaza,26 Federal Plaza,FAC,,,en,1,,,,,,
Every day,Every day,DATE,,,en,1,,,,,,
2160p,2160p,CARDINAL,,,en,1,,,,,,
1986,1986,DATE,,,en,1,,,,,,
+1534,+1534,NORP,,,en,1,,,,,,
6.46.Shipping,6.46.Shipping,MONEY,,,en,1,,,,,,
18 inches,18 inches,QUANTITY,,,en,1,,,,,,
a big week,a big week,DATE,,,en,1,,,,,,
1 to 3 inches,1 to 3 inches,QUANTITY,,,en,1,,,,,,
+3934,+3934,NORP,,,en,1,,,,,,
Southmoor Nature Reserve,Southmoor Nature Reserve,FAC,,,en,1,,,,,,
+3480,+3480,NORP,,,en,1,,,,,,
autumn,autumn,DATE,,,en,1,,,,,,
Just over 22 miles,Just over 22 miles,QUANTITY,,,en,1,,,,,,
Nov. 10—SIOUX,Nov. 10—SIOUX,DATE,,,en,1,,,,,,
the Thompson Park Community Center,the Thompson Park Community Center,FAC,,,en,1,,,,,,
early winter,early winter,DATE,,,en,1,,,,,,
Winter Running Gear Must-Haves That Will Keep You Toasty,Winter Running Gear Must-Haves That Will Keep You Toasty,WORK_OF_ART,,,en,1,,,,,,
400m,400m,QUANTITY,,,en,1,,,,,,
the day…,the day…,DATE,,,en,1,,,,,,
+1280,+1280,NORP,,,en,1,,,,,,
New Years Eve,New Years Eve,EVENT,,,en,1,,,,,,
mid-week,mid-week,DATE,,,en,1,,,,,,
a huge day,a huge day,DATE,,,en,1,,,,,,
"November 30 – February 22, 2026","November 30 – February 22, 2026",DATE,,,en,1,,,,,,
"50,080","50,080",MONEY,,,en,1,,,,,,
September 2025,September 2025,DATE,,,en,1,,,,,,
up to 12 inches,up to 12 inches,QUANTITY,,,en,1,,,,,,
Nov 25,Nov 25,DATE,,,en,1,,,,,,
"50,000 tonnes","50,000 tonnes",QUANTITY,,,en,1,,,,,,
more than 30,more than 30,CARDINAL,,,en,1,,,,,,
90%,90%,PERCENT,,,en,1,,,,,,
Ukrainian,Ukrainian,NORP,,,en,1,,,,,,
last fall,last fall,DATE,,,en,1,,,,,,
fifth,fifth,ORDINAL,,,en,1,,,,,,
70,70,MONEY,,,en,1,,,,,,
35.24,35.24,MONEY,,,en,1,,,,,,
The Hunger Games Deluxe Edition Box Set,The Hunger Games Deluxe Edition Box Set,EVENT,,,en,1,,,,,,
2022,2022,DATE,,,en,1,,,,,,
33,33,MONEY,,,en,1,,,,,,
24.74,24.74,MONEY,,,en,1,,,,,,
less than one inch,less than one inch,QUANTITY,,,en,1,,,,,,
Asian,Asian,NORP,,,en,1,,,,,,
60%,60%,PERCENT,,,en,1,,,,,,
Volodymy,Volodymy,WORK_OF_ART,,,en,1,,,,,,
44,44,CARDINAL,,,en,1,,,,,,
York Lions Stadium,York Lions Stadium,FAC,,,en,1,,,,,,
Asian World Film Festival,Asian World Film Festival,EVENT,,,en,1,,,,,,
11th,11th,ORDINAL,,,en,1,,,,,,
the Best International Feature Film,the Best International Feature Film,EVENT,,,en,1,,,,,,
Oscar,Oscar,WORK_OF_ART,,,en,1,,,,,,
Old Man Winter,Old Man Winter,DATE,,,en,1,,,,,,
Swedish,Swedish,NORP,,,en,1,,,,,,
5G Unlocked Obsidian,5G Unlocked Obsidian,QUANTITY,,,en,1,,,,,,
2015/05/07()03:25:20,2015/05/07()03:25:20,CARDINAL,,,en,1,,,,,,
Samiti,Samiti,NORP,,,en,1,,,,,,
Maitighar,Maitighar,NORP,,,en,1,,,,,,
Laugardalsvollur Stadium,Laugardalsvollur Stadium,FAC,,,en,1,,,,,,
+3323 chars,+3323 chars,WORK_OF_ART,,,en,1,,,,,,
La,La,WORK_OF_ART,,,en,1,,,,,,
a white Christmas,a white Christmas,DATE,,,en,1,,,,,,
Annapurna Base Camp,Annapurna Base Camp,FAC,,,en,1,,,,,,
early today,early today,TIME,,,en,1,,,,,,
Kagbeni,Kagbeni,NORP,,,en,1,,,,,,
Mustang,Mustang,PRODUCT,0.0625,0.10833333333333334,en,1,,,,,,
+6197 chars,+6197 chars,WORK_OF_ART,,,en,1,,,,,,
French,French,NORP,,,en,1,,,,,,
more than 200,more than 200,CARDINAL,,,en,1,,,,,,
the John Ball Zoo,the John Ball Zoo,FAC,,,en,1,,,,,,
noon,noon,TIME,,,en,1,,,,,,
Years ago,Years ago,DATE,,,en,1,,,,,,
26 October 2025,26 October 2025,DATE,,,en,1,,,,,,
"October 25, 2025","October 25, 2025",DATE,,,en,1,,,,,,
43,43,MONEY,,,en,1,,,,,,
Recent Past,Recent Past,DATE,,,en,1,,,,,,
560—Study,560—Study,MONEY,,,en,1,,,,,,
+7303,+7303,CARDINAL,,,en,1,,,,,,
Waymos,Waymos,NORP,,,en,1,,,,,,
Ten minutes,Ten minutes,TIME,,,en,1,,,,,,
Wednesday to Thursday,Wednesday to Thursday,DATE,,,en,1,,,,,,
Fallout 3,Fallout 3,LAW,,,en,1,,,,,,
2.0,2.0,CARDINAL,,,en,1,,,,,,
GOG,GOG,PRODUCT,,,en,1,,,,,,
Japanese,Japanese,NORP,,,en,1,,,,,,
9,9,CARDINAL,,,en,1,,,,,,
Nine New International Ski Resorts,Nine New International Ski Resorts,EVENT,,,en,1,,,,,,
only two months,only two months,DATE,,,en,1,,,,,,
799,799,MONEY,,,en,1,,,,,,
five,five,CARDINAL,,,en,1,,,,,,
Days,Days,DATE,,,en,1,,,,,,
just its third season,just its third season,DATE,,,en,1,,,,,,
24,24,CARDINAL,,,en,1,,,,,,
this months,this months,DATE,,,en,1,,,,,,
The new month,The new month,DATE,,,en,1,,,,,,
Wallpapers Edition,Wallpapers Edition,EVENT,,,en,1,,,,,,
the summer,the summer,DATE,,,en,1,,,,,,
800,800,CARDINAL,,,en,1,,,,,,
90,90,CARDINAL,,,en,1,,,,,,
"Oh Happy Dawn Photography
","Oh Happy Dawn Photography
",WORK_OF_ART,,,en,1,,,,,,
2011,2011,DATE,,,en,1,,,,,,
35-34,35-34,DATE,,,en,1,,,,,,
Stray,Stray,PRODUCT,,,en,1,,,,,,
"Release Description:
 Link","Release Description:
 Link",WORK_OF_ART,,,en,1,,,,,,
this past week,this past week,DATE,,,en,1,,,,,,
50 years,50 years,DATE,,,en,1,,,,,,
"4,000","4,000",CARDINAL,,,en,1,,,,,,
Winter Outage… Winter,Winter Outage… Winter,EVENT,,,en,1,,,,,,
$160 billion,$160 billion,MONEY,,,en,1,,,,,,
one day,one day,DATE,,,en,1,,,,,,
30,30,CARDINAL,,,en,1,,,,,,
Connections,Connections,PRODUCT,,,en,1,,,,,,
Connections:,Connections:,WORK_OF_ART,,,en,1,,,,,,
386,386,MONEY,,,en,1,,,,,,
Oct. 14,Oct. 14,DATE,,,en,1,,,,,,
another several inches,another several inches,QUANTITY,,,en,1,,,,,,
Oct. 12,Oct. 12,DATE,,,en,1,,,,,,
6 inches,6 inches,QUANTITY,,,en,1,,,,,,
7 inches,7 inches,QUANTITY,,,en,1,,,,,,
8 inches,8 inches,QUANTITY,,,en,1,,,,,,
10 inches,10 inches,QUANTITY,,,en,1,,,,,,
early spring,early spring,DATE,,,en,1,,,,,,
30 centimetres,30 centimetres,QUANTITY,,,en,1,,,,,,
"concept</li>



","concept</li>



",PRODUCT,,,en,1,,,,,,
the Second World War,the Second World War,EVENT,,,en,1,,,,,,
At Play in the Fields of the Lord,At Play in the Fields of the Lord,WORK_OF_ART,,,en,1,,,,,,
“The Snow Leopard”,“The Snow Leopard”,WORK_OF_ART,,,en,1,,,,,,
True Nature,True Nature,WORK_OF_ART,,,en,1,,,,,,
a few minutes,a few minutes,TIME,,,en,1,,,,,,
+2570 chars,+2570 chars,WORK_OF_ART,,,en,1,,,,,,
3rd,3rd,ORDINAL,,,en,1,,,,,,
38-40,38-40,CARDINAL,,,en,1,,,,,,
this past weekend,this past weekend,DATE,,,en,1,,,,,,
580,580,CARDINAL,,,en,1,,,,,,
Hundreds,Hundreds,CARDINAL,,,en,1,,,,,,
the morning to afternoon,the morning to afternoon,TIME,,,en,1,,,,,,
"Tuesday, Oct. 14","Tuesday, Oct. 14",DATE,,,en,1,,,,,,
The early morning hours,The early morning hours,TIME,,,en,1,,,,,,
Blank Space,Blank Space,WORK_OF_ART,,,en,1,,,,,,
all seasons,all seasons,DATE,,,en,1,,,,,,
English,English,LANGUAGE,,,en,1,,,,,,
yesterday,yesterday,DATE,,,en,1,,,,,,
six years,six years,DATE,,,en,1,,,,,,
38,38,CARDINAL,,,en,1,,,,,,
Mini Crossword,Mini Crossword,WORK_OF_ART,,,en,1,,,,,,
"Friday, Oct. 17","Friday, Oct. 17",DATE,,,en,1,,,,,,
Around 7 p.m.,Around 7 p.m.,TIME,,,en,1,,,,,,
Gzhelian,Gzhelian,NORP,,,en,1,,,,,,
The Sender IN Jacket,The Sender IN Jacket,WORK_OF_ART,,,en,1,,,,,,
Jan… [,Jan… [,DATE,,,en,1,,,,,,
earlier this week,earlier this week,DATE,,,en,1,,,,,,
October day,October day,DATE,,,en,1,,,,,,
thousands of dollars,thousands of dollars,MONEY,,,en,1,,,,,,
the Year 2005,the Year 2005,DATE,,,en,1,,,,,,
